Title,Partner,Subject,Description,Rating,Level,Duration (in hour),Skills,URL
instructional design foundation application,University of Illinois Urbana-Champaign,Education,instructional design foundation application,4.0,Beginner level,12.0,instructional design diversity inclusion instructional curriculum design job analysis analysis education training learning theory system analysis need assessment,https://www.coursera.org/learn/instructional-design-foundations-applications
introduction engineering mechanic,Georgia Institute of Technology,Mechanical Engineering,introduction engineering mechanic,4.8,Beginner level,14.0,mechanical engineering civil engineering mechanic trigonometry engineering structural analysis engineering calculation engineering analysis torque physic,https://www.coursera.org/learn/engineering-mechanics-statics
artificial intelligence marketing,University of Virginia,Marketing,artificial intelligence marketing,4.6,Beginner level,40.0,marketing strategy network analysis datadriven decisionmaking marketing analytics artificial intelligence customer experience improvement digital marketing algorithm,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing
amazon junior software developer professional certificate,Amazon,Software Development,launch career junior software developer build jobready skill indemand career software development little month prior experience degree required get started,4.7,Beginner level,160.0,fullstack web development system development software development junit java programming digital transformation test driven development tdd requirement analysis sql database management,https://www.coursera.org/professional-certificates/amazon-junior-software-developer
advanced learning algorithm,DeepLearning.AI,Machine Learning,course part machine learning specialization,4.9,Beginner level,40.0,performance tuning tensorflow machine learning artificial intelligence data ethic random forest algorithm machine learning algorithm decision tree learning deep learning,https://www.coursera.org/learn/advanced-learning-algorithms
materiality esg factor specialization,University of Pennsylvania,Finance,learn esg factor investing analyze importance esg investing identify esg approach essential piece strategy based various factor impacting driving value,4.7,Beginner level,40.0,financial data governance environmental resource management investment management waste minimization insurance investment environmental social corporate governance esg,https://www.coursera.org/specializations/materiality-esg-factors
ibm ai product manager professional certificate,IBM,Support and Operations,launch career ai product manager build indemand product management generative ai skill get job ready month less,4.6,Beginner level,120.0,product planning product lifecycle management stakeholder engagement product roadmaps chatgpt new product development openai prompt engineering project management life cycle innovation,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
dynamic public speaking specialization,University of Washington,Personal Development,become excellent public speaker master technique designing delivering clear compelling presentation,4.8,Beginner level,80.0,constructive feedback storytelling verbal communication skill persuasive communication communication strategy writing microsoft powerpoint presentation public speaking,https://www.coursera.org/specializations/public-speaking
meta backend developer professional certificate,Meta,Mobile and Web Development,launch career backend developer build jobready skill indemand career earn credential meta degree prior experience required get started,4.7,Beginner level,40.0,database design fullstack web development github database management system web design development frontend web development unix command sql django web framework,https://www.coursera.org/professional-certificates/meta-back-end-developer
aws generative ai application professional certificate,Amazon Web Services,Cloud Computing,building ai application aws cloud learn ai fundamental aws service develop practical application enhance productivity,4.7,Beginner level,40.0,aws sagemaker cost management large language modeling mlops machine learning operation public cloud prompt engineering artificial intelligence machine learning aiml,https://www.coursera.org/professional-certificates/aws-generative-ai-applications
agentic ai ai agent leader specialization,Vanderbilt University,Leadership and Management,strategic insight leader agentic ai gain knowledge lead ai innovation organization understanding agentic ai ai agent,4.8,Beginner level,40.0,creative thinking large language modeling workflow management agentic system automation productivity technology strategy chatgpt prompt engineering,https://www.coursera.org/specializations/ai-agents-for-leaders
business health care specialization,University of Pennsylvania,Healthcare Management,advance career health care management develop business skill understand american health care system improve cost quality,4.7,Beginner level,40.0,employee performance management health care procedure regulation decision making people management health system process improvement optimization performance improvement,https://www.coursera.org/specializations/healthcare-administration-management
data structure algorithm specialization,University of California San Diego,Algorithms,master algorithmic programming technique advance software engineering data science career learning algorithm programming puzzle solving ace coding interview implementing algorithmic challenge specialization apply newlylearned algorithmic technique reallife problem analyzing huge social network sequencing genome deadly pathogen,4.6,Intermediate level,200.0,network model programming principle computational thinking graph theory test engineering network routing debugging network analysis epidemiology operation research bioinformatics,https://www.coursera.org/specializations/data-structures-algorithms
business analytics specialization,University of Pennsylvania,Data Analysis,make datadriven business decision achieve fluency business data strategy four disciplinespecific course,4.6,Beginner level,40.0,financial data customer analysis workforce planning descriptive analytics business analytics demand planning talent management financial statement analysis human resource strategy analytics,https://www.coursera.org/specializations/business-analytics
construction management specialization,Columbia University,Leadership and Management,construction project management planning develop understand foundation project planning scheduling technique,4.8,Beginner level,120.0,building information modeling construction estimating cost control construction project schedule project risk management bidding cost estimation innovation project closure project finance,https://www.coursera.org/specializations/construction-management
ibm machine learning professional certificate,IBM,Machine Learning,prepare career machine learning gain indemand skill handson experience get jobready less month,4.6,Intermediate level,120.0,machine learning algorithm machine learning applied machine learning unsupervised learning exploratory data analysis supervised learning data processing regression analysis deep learning,https://www.coursera.org/professional-certificates/ibm-machine-learning
security google cloud specialization,Google Cloud,Security,launch career cloud security selfpaced specialization give broad study security control best practice technique google cloud,4.7,Intermediate level,40.0,data security containerization security control identity access management threat management application security cloud computing data loss prevention application deployment,https://www.coursera.org/specializations/security-google-cloud-platform
deeplearningai data analytics professional certificate,DeepLearning.AI,Data Analysis,develop robust foundation data analytics build jobready data analytics skillset using industrystandard tool including generative ai extract insight make decision solve realworld business problem,4.7,Beginner level,160.0,statistic dashboard large language modeling tableau software panda python package linkedin data validation descriptive statistic google sheet data literacy data storytelling,https://www.coursera.org/professional-certificates/data-analytics
introduction systematic review metaanalysis,Johns Hopkins University,Research,introduction systematic review metaanalysis,4.8,Beginner level,14.0,biostatistics analysis scientific method statistical method data collection research methodology clinical trial epidemiology data synthesis statistical analysis clinical research,https://www.coursera.org/learn/systematic-review
foundation positive psychology specialization,University of Pennsylvania,Business Essentials,positive psychology wellbeing life master strategy tool enable individual organization thrive,4.8,Beginner level,80.0,qualitative research selfawareness research design positivity optimism research scientific method productivity selfmotivation relationship building goal setting cognitive flexibility,https://www.coursera.org/specializations/positivepsychology
prompt engineering specialization,Vanderbilt University,Machine Learning,become prompt engineering expert master prompt engineering pattern technique approach effectively leverage generative ai,4.8,Beginner level,40.0,document management creative thinking brainstorming verification validation large language modeling ideation productivity chatgpt data validation prompt engineering,https://www.coursera.org/specializations/prompt-engineering
ibm isc cybersecurity specialist professional certificate,IBM,Security,get jobready launch cybersecurity career build information security skill handson experience employer look less month prior experience required,4.8,Beginner level,40.0,governance security control application security cryptography cybersecurity peripheral device computer security incident management network troubleshooting cloud computing architecture,https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist
javascript programming react node mongodb specialization,IBM,Software Development,discover javascript developer potential solidify cloud application developer skill essential javascript technology nosql database,4.5,Beginner level,80.0,authentication fullstack web development reactjs ui component ajax javascript javascript framework web application application deployment server side frontend web development,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb
google ai essential specialization,Google,Machine Learning,boost productivity ai tool new ai learn google expert ai help speed daily task spark new idea,4.8,Beginner level,40.0,data security machine learning software large language modeling prompt engineering digital transformation artificial intelligence machine learning aiml innovation,https://www.coursera.org/specializations/ai-essentials-google
deep learning specialization,DeepLearning.AI,Machine Learning,become machine learning expert master fundamental deep learning break ai recently updated cuttingedge technique,4.9,Intermediate level,40.0,machine learning algorithm machine learning kera neural network library large language modeling applied machine learning pytorch machine learning library artificial neural network,https://www.coursera.org/specializations/deep-learning
google cloud database engineer specialization,Google Cloud,Cloud Computing,advance cloud career database engineering,4.7,Intermediate level,40.0,containerization identity access management database administration cloud application application deployment operational database prompt engineering cloud storage,https://www.coursera.org/specializations/google-cloud-database-engineer
generative ai automation specialization,Vanderbilt University,Machine Learning,generative ai mastery automate chatgpt learn perform complex task effortlessly using power generative ai,4.9,Beginner level,40.0,document management verification validation large language modeling data synthesis ideation productivity chatgpt openai data validation prompt engineering risk management framework,https://www.coursera.org/specializations/generative-ai-automation
python everybody specialization,University of Michigan,Software Development,learn program analyze data python develop program gather clean analyze visualize data,4.8,Beginner level,40.0,database design programming principle database system sql database management data processing data collection extensible markup language xml data modeling data visualization,https://www.coursera.org/specializations/python
use ai responsibly,Google,Machine Learning,course part google ai essential specialization,4.9,Beginner level,40.0,generative ai data security critical thinking analysis,https://www.coursera.org/learn/google-use-ai-responsibly
intellectual property law specialization,University of Pennsylvania,Business Strategy,become fluent rule new economy learn use intellectual property law protect maximize value innovation,4.8,Intermediate level,40.0,regulation legal compliance business valuation creativity business strategy intellectual property brand awareness innovation planning marketing asset protection asset management,https://www.coursera.org/specializations/introduction-intellectual-property
python programming specialization,University of Michigan,Software Development,become fluent python programmer learn fundamental become independent programmer,4.8,Beginner level,120.0,unit testing programming principle file management image analysis debugging data processing data manipulation maintainability data importexport computer programming data structure,https://www.coursera.org/specializations/python-3-programming
introduction financial accounting,University of Pennsylvania,Business Essentials,course part multiple program learn,4.7,Beginner level,13.0,accrual accounting income statement accounting balance sheet financial accounting financial reporting financial statement analysis financial analysis financial statement cash flow,https://www.coursera.org/learn/wharton-accounting
introduction cosmetic science ingredient specialization,Olay,Basic Science,learn cosmetic science olay scientist build foundational understanding industry process creating safe effective cosmetic formula skincare haircare hygiene cosmetic color cosmetic cleansing fragrance,4.7,Beginner level,40.0,product design good manufacturing practice feasibility study chemistry quality assurance laboratory equipment statistical process control new product development personal care,https://www.coursera.org/specializations/introduction-to-cosmetic-science
integration art science modern dental medicine specialization,University of Pennsylvania,Patient Care,explore scope dentistry oral health completing specialization learner able recognize scope dental therapy identify relationship oral systemic health,4.9,Intermediate level,40.0,health assessment chronic disease dental care cardiology oral dental care precision medicine anatomy patient evaluation oncology public health innovation dental procedure,https://www.coursera.org/specializations/art-and-science-of-dental-medicine
ibm deep learning pytorch kera tensorflow professional certificate,IBM,Machine Learning,fasttrack deep learning engineering career build deep learning expertise employer looking month,4.4,Intermediate level,80.0,machine learning method verification validation kera neural network library applied machine learning pytorch machine learning library unsupervised learning,https://www.coursera.org/professional-certificates/ibm-deep-learning-with-pytorch-keras-tensorflow
aws fundamental specialization,Amazon Web Services,Cloud Computing,aws fundamental specialization,4.7,Beginner level,40.0,api gateway eventdriven programming amazon elastic compute cloud software architecture cloud computing amazon aws identity access management iam cloud storage,https://www.coursera.org/specializations/aws-fundamentals
microsoft ai ml engineering professional certificate,Microsoft,Software Development,prepare career ai ml engineering build deploy innovate advanced technique realworld project intermediate programming knowledge python required,4.6,Intermediate level,240.0,large language modeling mlops machine learning operation applied machine learning unsupervised learning application deployment microsoft azure natural language processing,https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering
foundation data data everywhere,Google,Data Analysis,course part google data analytics professional certificate,4.8,Beginner level,40.0,analytical skill data ethic data visualization software data visualization data sharing google sheet datadriven decisionmaking data analysis data cleansing spreadsheet software sql,https://www.coursera.org/learn/foundations-data
microsoft fundamental specialization,Microsoft,Business Essentials,pursue passion improve productivity learn use bestinclass suite apps help stay connected get thing done,4.7,Beginner level,80.0,document management microsoft word collaborative software multimedia file management microsoft writing technical documentation proofreading microsoft powerpoint microsoft window,https://www.coursera.org/specializations/microsoft-365-fundamentals
ai agent java generative ai specialization,Vanderbilt University,Machine Learning,enterprise ai automation java ai agent learn build powerful ai agent ai agent architecture java work nearly api,4.8,Beginner level,80.0,java creative thinking brainstorming collaborative software large language modeling agentic system productivity chatgpt openai prompt engineering software design document,https://www.coursera.org/specializations/ai-agents-java
ibm rag agentic ai professional certificate,IBM,Software Development,build realworld ai rag agentic ai use ai tool streamline automation drive innovation take career faster,4.6,Advanced level,80.0,fullstack web development large language modeling agentic system flask web framework openai software development prompt engineering database system,https://www.coursera.org/professional-certificates/ibm-rag-and-agentic-ai
mental health care fundamental specialization,MedCerts,Psychology,master mental health theory development gain thorough understanding mental health professional standard theoretical framework comprehensive insight developmental stage difficulty disorder,4.8,Beginner level,120.0,cultural diversity teamwork professional development professionalism human development patient education counseling mental health therapy cultural responsiveness mental health,https://www.coursera.org/specializations/mental-health-care-fundamentals
merger acquisition specialization,University of Illinois Urbana-Champaign,Finance,learn execute successful strategy learner able gain wholistic understanding successful deal structured executed create value organization,4.7,Intermediate level,80.0,corporate accounting balance sheet business valuation price negotiation financial management financial statement analysis accounting investment capital market financial analysis,https://www.coursera.org/specializations/mergersandacquisitions
generative ai product manager specialization,IBM,Leadership and Management,elevate product manager career gen ai build indemand handson generative ai skill boost product manager career month experience needed get started,4.5,Intermediate level,120.0,product lifecycle management creativity large language modeling chatgpt new product development openai ibm cloud stakeholder communication prompt engineering team building,https://www.coursera.org/specializations/generative-ai-for-product-managers
meta fullstack developer specialization,Meta,Mobile and Web Development,learn master fullstack web development master frontend backend skill build web apps endtoend,4.8,Beginner level,320.0,html cs database design reactjs linux command github database management system unix command sql jest javascript testing framework django web framework api design,https://www.coursera.org/specializations/meta-full-stack-developer
google digital marketing ecommerce professional certificate,Google,Marketing,get fast track career digital marketing certificate program youll learn indemand skill get ai training google expert learn pace degree experience required,4.8,Beginner level,40.0,interviewing skill search engine optimization medium planning professional development campaign management performance measurement marketing customer retention order fulfillment,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
ibm cybersecurity analyst professional certificate,IBM,Security,launch career cybersecurity professional build jobready skill prep comptia security exam program,4.7,Beginner level,40.0,cyber security assessment interviewing skill identity access management cyber threat hunting cloud computing cybersecurity intrusion detection prevention,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
google ux design professional certificate,Google,Design and Product,get fast track career ux design certificate program youll learn indemand skill get ai training google expert learn pace degree experience required,4.8,Beginner level,40.0,information architecture usability testing interviewing skill user experience design figma design software design review usability professional development user research,https://www.coursera.org/professional-certificates/google-ux-design
technical support fundamental,Google,Support and Operations,course part google support professional certificate,4.8,Beginner level,40.0,software documentation technical communication technical documentation help desk support computer networking technical support microsoft window end user training support,https://www.coursera.org/learn/technical-support-fundamentals
ai business specialization,University of Pennsylvania,Leadership and Management,learn fundamental ai machine learning develop deployment strategy incorporating ai ml big data organization take advantage cuttingedge technology,4.7,Beginner level,40.0,governance data security customer data management machine learning personally identifiable information business strategy big data human resource analytics data governance hr tech,https://www.coursera.org/specializations/ai-for-business-wharton
system administration infrastructure service,Google,Support and Operations,course part google support professional certificate,4.8,Beginner level,40.0,virtualization infrastructure system administration active directory system configuration lightweight directory access protocol data storage technology disaster recovery server,https://www.coursera.org/learn/system-administration-it-infrastructure-services
design prompt everyday work task,Google,Machine Learning,course part google prompting essential specialization,4.8,Beginner level,40.0,document management timeline brainstorming taking meeting minute concision prompt engineering text mining business writing project schedule,https://www.coursera.org/learn/google-design-prompts-for-everyday-work-tasks
ibm business intelligence bi analyst professional certificate,IBM,Data Management,launch career business intelligence gain indemand skill handson experience get jobready less month prior experience required,4.7,Beginner level,40.0,database design data visualization software data wrangling dashboard tableau software excel formula data cleansing sql descriptive statistic data warehousing data mining data collection,https://www.coursera.org/professional-certificates/bi-analyst
generative ai data engineer specialization,IBM,Data Management,launch generative ai data engineering career get jobready data engineer knowledge generative ai prior experience necessary,4.7,Intermediate level,80.0,database design data infrastructure large language modeling data synthesis chatgpt openai star schema ibm cloud prompt engineering data warehousing data mining query language,https://www.coursera.org/specializations/generative-ai-for-data-engineers
introduction generative ai,Google Cloud,Cloud Computing,course part introduction generative ai learning path specialization,4.7,Beginner level,40.0,application development artificial intelligence google cloud platform machine learning method generative ai,https://www.coursera.org/learn/introduction-to-generative-ai
nursing assistant fundamental specialization,MedCerts,Patient Care,master cna skill healthcare knowledge equip student essential cna skill professional practice knowledge anatomy,4.8,Beginner level,120.0,direct patient care cultural diversity health information management medical record anatomy professional development professionalism toileting patient education support,https://www.coursera.org/specializations/nursing-assistant-fundamentals
generative ai java spring developer specialization,IBM,Software Development,futureproof java career opportunity master genai create ai java apps month prior ai experience required,4.9,Intermediate level,40.0,application security large language modeling chatgpt openai application deployment ibm cloud software development natural language processing prompt engineering java programming,https://www.coursera.org/specializations/generative-ai-for-java-and-spring-developers
medical neuroscience,Duke University,Research,medical neuroscience,4.9,Advanced level,40.0,psychology neurology molecular biology pharmacology biology medical science research pathology anatomy,https://www.coursera.org/learn/medical-neuroscience
search engine optimization seo specialization,"University of California, Davis",Marketing,become seo expert master search engine optimization tool strategy,4.7,Beginner level,80.0,content marketing forecasting search engine optimization content performance analysis social medium user research consumer behaviour google analytics client service expectation management,https://www.coursera.org/specializations/seo
foundation cybersecurity,Google,Computer Security and Networks,course part google cybersecurity professional certificate,4.9,Beginner level,40.0,security management security control cyber risk cyber attack cyber security strategy ethical standard conduct incident response network analysis,https://www.coursera.org/learn/foundations-of-cybersecurity
microsoft power bi data analyst professional certificate,Microsoft,Security,launch career power bi analyst build jobready skill indemand career little month prior experience required get started program also prepare microsoft pl certification exam,4.6,Beginner level,40.0,database design data security data integration microsoft sql server statistical reporting sql microsoft excel data storage technology microsoft power platform data collection,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
data analysis presentation skill pwc approach specialization,PwC,Business Essentials,make smarter business decision data analysis understand data apply data analytics tool create effective business intelligence presentation,4.7,Beginner level,80.0,customer analysis data visualization software dashboard big data business analytics microsoft powerpoint excel formula data cleansing analytics microsoft excel data literacy presentation,https://www.coursera.org/specializations/pwc-analytics
bi foundation sql etl data warehousing specialization,IBM,Data Management,get jobready first role bi build indemand skill need get started business intelligence bi month degree prior experience required,4.6,Beginner level,80.0,ibm cognos analytics linux command file management dashboard star schema shell script database sql data warehousing data visualization data pipeline stored procedure,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
primeros auxilios psicolgicos pap,Universitat Autònoma de Barcelona,Psychology,primeros auxilios psicolgicos pap,4.9,Beginner level,40.0,crisis intervention disability pediatrics working child trauma care stress management psychology first aid mental health deescalation technique cultural sensitivity,https://www.coursera.org/learn/pap
capstone applying project management real world,Google,Leadership and Management,course part google project management professional certificate,4.9,Beginner level,40.0,project scoping quality management project planning interviewing skill stakeholder management problem solving communication strategy project documentation stakeholder communication,https://www.coursera.org/learn/applying-project-management
microsoft ai product manager professional certificate,Microsoft,Design and Product,launch product manager career microsoft learn indemand market research skill become jobready product manager less month degree experience required,4.7,Beginner level,120.0,product lifecycle management product roadmaps usability new product development user interface ui design business research quality assurance control user story,https://www.coursera.org/professional-certificates/microsoft-ai-product-manager
ibm frontend developer professional certificate,IBM,Mobile and Web Development,build jobready frontend skill employer need master development skill plan build deploy test web design application interface month,4.6,Beginner level,160.0,html cs development environment reactjs github software architecture browser compatibility cloudnative computing software development webpack cascading style sheet cs,https://www.coursera.org/professional-certificates/ibm-frontend-developer
foundation project management,Google,Leadership and Management,course part google project management professional certificate,4.9,Beginner level,40.0,organizational change agile methodology change management organizational structure waterfall methodology project management life cycle project planning program management,https://www.coursera.org/learn/project-management-foundations
generative ai customer support specialization,IBM,Business Essentials,unlock potential gen ai customer support learn leverage capability tool generative ai provide enhanced customer support drive excellent customer experience week,4.9,Intermediate level,40.0,virtual environment large language modeling workflow management automation chatgpt openai ibm cloud prompt engineering image analysis customer insight customer service,https://www.coursera.org/specializations/generative-ai-for-customer-support
getting started google workspace specialization,Google Cloud,Cloud Computing,getting started google workspace specialization,4.7,Beginner level,40.0,google doc document management collaborative software file management google workspace email security data validation sale presentation excel formula google sheet meeting facilitation,https://www.coursera.org/specializations/getting-started-with-google-workspace
improving deep neural network hyperparameter tuning regularization optimization,DeepLearning.AI,Machine Learning,course part deep learning specialization,4.9,Intermediate level,40.0,artificial neural network machine learning algorithm analysis tensorflow performance tuning deep learning artificial intelligence machine learning aiml debugging,https://www.coursera.org/learn/deep-neural-network
become cbr certified professional installer google,Google - Spectrum Sharing,Networking,become cbr certified professional installer google,4.5,Beginner level,3.0,system configuration telecommunication key management software installation record keeping network infrastructure wireless network data entry system implementation technical communication,https://www.coursera.org/learn/google-cbrs-cpi-training
ibm ai engineering professional certificate,IBM,Machine Learning,get jobready ai engineer build ai engineering skill practical experience need catch eye employer less month power resume,4.5,Intermediate level,40.0,machine learning kera neural network library large language modeling applied machine learning pytorch machine learning library unsupervised learning natural language processing,https://www.coursera.org/professional-certificates/ai-engineer
modern contemporary art design specialization,The Museum of Modern Art,Music and Art,explore art idea time develop deeper understanding artist designer process gain confidence looking talking art,4.8,Beginner level,40.0,storytelling journalism cultural diversity architectural design creativity multimedia social justice art history aesthetic innovation electronic medium medium communication,https://www.coursera.org/specializations/modern-contemporary-art-design
chatgpt zapier aipowered email mastery specialization,Vanderbilt University,Business Essentials,chatgptpowered email automation productivity master chatgptdriven workflow automate email task streamline communication organize important information effortlessly zapier,4.8,Beginner level,40.0,creative thinking brainstorming data integration google workspace large language modeling workflow management automation productivity chatgpt prompt engineering organizational skill,https://www.coursera.org/specializations/chatgpt-zapier-email
successful negotiation essential strategy skill,University of Michigan,Business Essentials,successful negotiation essential strategy skill,4.8,Beginner level,40.0,cultural diversity communication mediation conflict management contract negotiation negotiation sale strategy arbitration ethical standard conduct influencing decision making planning,https://www.coursera.org/learn/negotiation-skills
generative ai product owner specialization,IBM,Leadership and Management,power product owner career genai become proficient genai tool week optimize product lifecycle drive result,4.8,Intermediate level,40.0,market intelligence virtual environment stakeholder engagement large language modeling chatgpt openai product requirement ibm cloud prompt engineering image analysis strategic thinking,https://www.coursera.org/specializations/generative-ai-for-product-owners
business financial modeling specialization,University of Pennsylvania,Business Essentials,build business financial model use spreadsheet model make datadriven financial decision,4.5,Beginner level,40.0,risk modeling statistical modeling decision making investment management microsoft powerpoint mathematical modeling microsoft excel google sheet regression analysis financial statement,https://www.coursera.org/specializations/wharton-business-financial-modeling
mathematics machine learning specialization,Imperial College London,Machine Learning,mathematics machine learning learn prerequisite mathematics application data science machine learning,4.6,Beginner level,40.0,machine learning algorithm statistic machine learning calculus derivative artificial neural network numpy applied mathematics advanced mathematics regression analysis,https://www.coursera.org/specializations/mathematics-machine-learning
meta data analyst professional certificate,Meta,Data Analysis,launch career data analytics build jobready skill musthave ai skill indemand career earn credential meta month less degree prior experience required,4.7,Beginner level,200.0,data visualization software exploratory data analysis panda python package bayesian statistic data cleansing sql key performance indicator kpis descriptive statistic,https://www.coursera.org/professional-certificates/meta-data-analyst
bookkeeping basic,Intuit,Business Essentials,course part intuit academy bookkeeping professional certificate,4.6,Beginner level,40.0,income statement accounting software accounting general ledger cash flow ledger accounting accounting record balance sheet financial statement ethical standard conduct bookkeeping,https://www.coursera.org/learn/bookkeeping-basics
microsoft power bi power platform productivity specialization,Microsoft,Software Development,become power bi power platform expert boost productivity automate process gain valuable insight,4.6,Beginner level,160.0,dashboard star schema excel formula microsoft excel microsoft power platform data literacy data transformation data storytelling data modeling data analysis expression dax,https://www.coursera.org/specializations/microsoft-power-bi-and-power-platform-productivity
ai agent agentic ai python powered generative ai specialization,Vanderbilt University,Machine Learning,learn ai agent fundamental ground learn build resilient ai agent develop agentic ai skill python remain relevant despite rapidly evolving ai landscape,4.8,Beginner level,40.0,creative thinking brainstorming large language modeling agentic system productivity chatgpt persona user experience openai prompt engineering transaction processing interoperability,https://www.coursera.org/specializations/ai-agents-python
first step korean,Yonsei University,Other Languages,first step korean,4.9,Beginner level,40.0,grammar culture vocabulary literacy writing language competency,https://www.coursera.org/learn/learn-korean
adobe marketing specialist professional certificate,Adobe,Marketing,launch career marketing build jobready skill digital marketing content development branding social medium,4.8,Beginner level,200.0,advertising crosschannel marketing promotional strategy content marketing campaign management content strategy social medium content creative design marketing effectiveness,https://www.coursera.org/professional-certificates/adobe-marketing-specialist
entrepreneurship specialization,University of Pennsylvania,Entrepreneurship,turn idea funded business develop launch fund grow business,4.8,Beginner level,40.0,growth strategy entrepreneurial finance business valuation due diligence proposal development customer acquisition management sale presentation branding,https://www.coursera.org/specializations/wharton-entrepreneurship
finance quantitative modeling analyst specialization,University of Pennsylvania,Finance,finance quantitative modeling analyst specialization,4.6,Beginner level,40.0,statistical modeling capital budgeting corporate finance mathematical modeling cash flow financial analysis microsoft excel google sheet financial reporting regression analysis,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
data engineering big data machine learning gcp specialization,Google Cloud,Machine Learning,data engineering google cloud launch career data engineering deliver business value big data machine learning,4.6,Intermediate level,40.0,data infrastructure data integration dashboard big data mlops machine learning operation cloud storage cloud infrastructure data migration data processing google cloud platform,https://www.coursera.org/specializations/gcp-data-machine-learning
ai awakening implication economy society,Stanford University,Economics,ai awakening implication economy society,4.7,Beginner level,3.0,workforce development economics employee training artificial intelligence large language modeling business solution digital transformation innovation openai socioeconomics generative ai,https://www.coursera.org/learn/ai-awakening
information technology cloud fundamental specialization,IBM,Cloud Computing,kickstart new cloud career master hardware operating system programming database networking storage cybersecurity cloud computing essential,4.8,Beginner level,80.0,cloud computing cybersecurity peripheral device technical support computer hardware cloud application database network troubleshooting security awareness cloud infrastructure,https://www.coursera.org/specializations/it-cloud-fundamentals
ai infrastructure operation fundamental,NVIDIA,Machine Learning,ai infrastructure operation fundamental,4.6,Beginner level,40.0,data storage tensorflow computer architecture large language modeling cloud computing network infrastructure pytorch machine learning library generative ai machine learning deep learning,https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals
generative ai everyone,DeepLearning.AI,Machine Learning,generative ai everyone,4.8,Beginner level,40.0,ethical standard conduct generative ai artificial intelligence cloud application prompt engineering business process automation openai large language modeling chatgpt,https://www.coursera.org/learn/generative-ai-for-everyone
introductory human physiology,Duke University,Basic Science,introductory human physiology,4.8,Beginner level,40.0,pulmonology nephrology neurology biology vital sign kinesiology urology respiration nutrition diet anatomy gynecology cardiology,https://www.coursera.org/learn/physiology
strategic leadership management specialization,University of Illinois Urbana-Champaign,Leadership and Management,leadership business skill immediate impact apply practical strategy becoming effective organizational leader,4.8,Beginner level,80.0,governance negotiation business strategy trustworthiness business management team motivation leadership development team management organizational structure team building,https://www.coursera.org/specializations/strategic-leadership
nasm personal fitness trainer professional certificate,National Academy of Sports Medicine,Basic Science,launch career personal fitness training master knowledge skill required support client making lasting lifestyle change,4.7,Beginner level,80.0,health assessment chronic disease automated external defibrillator nutrition education patient evaluation preventative care train trainer neurology rehabilitation injury prevention,https://www.coursera.org/professional-certificates/nasm-personal-fitness-trainer
prompt engineering educator specialization,Vanderbilt University,Education,educator prompt engineering elevate teaching tailored generative ai prompting skill,4.8,Beginner level,40.0,brainstorming large language modeling data synthesis game design productivity chatgpt openai prompt engineering organizational skill image analysis education software technology,https://www.coursera.org/specializations/prompt-engineering-for-educators
career success specialization,"University of California, Irvine",Business Essentials,build essential skill workplace improve employability advance today dynamic workforce,4.6,Beginner level,80.0,feasibility study communication strategy negotiation business planning project management cash management project control delegation skill goal setting leadership management,https://www.coursera.org/specializations/career-success
chatgpt excel personal automation gpts ai zapier specialization,Vanderbilt University,Machine Learning,master personal automation chatgpt zapier learn harness chatgpt ai tool gpts zapier automate task enhance productivity effectively solve realworld challenge across various domain,4.9,Beginner level,40.0,creative thinking brainstorming google workspace large language modeling workflow management agentic system expense report automation productivity chatgpt prompt engineering google sheet,https://www.coursera.org/specializations/chatgpt-gpt-zapier-excel-at-automation
pharmacy technician fundamental specialization,MedCerts,Patient Care,foundational pharmacy technician career training start pharmacy career learning essential dosage prescription anatomy soft skill essential healthcare career,4.7,Beginner level,40.0,pharmacology cultural diversity health information management medical record anatomy medication dispensation professionalism pharmacy operation medical terminology,https://www.coursera.org/specializations/pharmacy-technician-fundamentals
learn sql basic data science specialization,"University of California, Davis",Data Analysis,learn sql basic data science specialization,4.6,Beginner level,80.0,database design distributed computing databricks exploratory data analysis sql descriptive statistic data governance peer review presentation data storytelling data modeling,https://www.coursera.org/specializations/learn-sql-basics-data-science
genomic data science specialization,Johns Hopkins University,Data Analysis,next generation sequencing data scientist master tool technique forefront sequencing data revolution,4.4,Intermediate level,40.0,data analysis software r programming statistical modeling linux command computational thinking exploratory data analysis unix command molecular biology biostatistics statistical analysis,https://www.coursera.org/specializations/genomic-data-science
agile development specialization,University of Virginia,Design and Product,drive value agile method master adaptive approach product development,4.7,Beginner level,40.0,usability testing customer analysis continuous delivery agile project management persona user experience agile software development team management product testing team leadership,https://www.coursera.org/specializations/agile-development
